Id	Label	Color
0	Sam Houston St.	2
1	E. Washington	2
2	Abil Chr.	2
3	Georgia State	4
4	Texas A&M	4
5	South Carolina	4
6	E. Illinois	0
7	Minnesota	0
8	Presbyterian	3
9	Northern Illinois	0
10	Missouri St.	0
11	Northwestern St.	2
12	Bryant	1
13	Stony Brook	7
14	Wake Forest	4
15	La.-Monroe	4
16	Chattanooga	3
17	C. Michigan	0
18	Howard	7
19	Akron	0
20	Charlotte	3
21	Campbell	6
22	Reinhardt	3
23	Mercer	3
24	E. Kentucky	0
25	Robert Morris	1
26	Point U	3
27	Charleston So.	3
28	Missouri Baptist	6
29	SE Missouri St.	0
30	Idaho State	2
31	Utah	9
32	Valparaiso	6
33	W. Illinois	0
34	Boise St.	9
35	Ole Miss	4
36	Kentucky Chr.	0
37	Tenn. Tech	0
38	Taylor	6
39	S. Illinois	0
40	Tulane	4
41	Tulsa	4
42	Cal-Poly	2
43	New Mexico St.	4
44	Union College (KY)	0
45	Murray St.	0
46	North Dakota	2
47	San Jose St.	9
48	Rutgers	0
49	Washington St.	9
50	Weber St.	2
51	Arizona St.	9
52	Temple	4
53	Vanderbilt	4
54	BYU	9
55	Connecticut	4
56	Villanova	1
57	Syracuse	4
58	Jacksonville St.	0
59	Michigan St.	0
60	Bowling Green	0
61	W. Kentucky	4
62	Colorado St.	9
63	Colorado	9
64	Texas-San Antonio	8
65	Houston	4
66	UNLV	9
67	Arizona	9
68	Penn St.	0
69	UCF	4
70	UCLA	9
71	Virginia	4
72	Delaware	7
73	Pittsburgh	4
74	W. Michigan	0
75	Purdue	0
76	Wagner	1
77	Georgetown	1
78	N. Iowa	0
79	Iowa	0
80	Ohio St.	0
81	Navy	4
82	Troy	4
83	UAB	4
84	Appalachian St.	4
85	Michigan	0
86	UT Martin	0
87	Kentucky	4
88	N. Dakota St.	0
89	Iowa St.	8
90	Youngstown St.	0
91	Illinois	0
92	Indiana St.	0
93	Indiana	0
94	Wofford	3
95	Georgia Tech	4
96	Ga. Southern	4
97	N. Carolina St.	4
98	Delaware St.	7
99	Monmouth	3
100	Colgate	1
101	Ball St.	0
102	Nicholls St.	2
103	Air Force	9
104	So. Utah	2
105	Nevada	9
106	Boston College	4
107	Massachusetts	0
108	California	9
109	Northwestern	0
110	FAU	4
111	Nebraska	0
112	Hampton	7
113	Old Dominion	4
114	South Dakota St.	0
115	Missouri	4
116	Marshall	4
117	Miami (Ohio)	0
118	James Madison	7
119	Maryland	0
120	Rice	4
121	Notre Dame	9
122	Duquesne	1
123	Buffalo	0
124	West Virginia	8
125	Alabama	4
126	UC-Davis	2
127	Stanford	9
128	Portland St.	2
129	Oregon St.	9
130	William & Mary	7
131	Virginia Tech	4
132	Arkansas	4
133	Auburn	4
134	Montana	2
135	Wyoming	9
136	Virginia-Lynchburg	5
137	Alcorn St.	5
138	Faith U.	5
139	Mississippi Valley St.	5
140	S.C. State	7
141	Benedict	7
142	Clemson	4
143	Georgia	4
144	Elon	7
145	Duke	4
146	VMI	3
147	Bucknell	1
148	Coastal Carolina	3
149	The Citadel	3
150	Liberty	3
151	North Carolina	4
152	Morgan St.	7
153	E. Michigan	0
154	Holy Cross	1
155	Albany	1
156	Central Conn. St.	1
157	Towson	7
158	Ohio	0
159	Kent St.	0
160	Morehead St.	6
161	Richmond	7
162	Norfolk St.	7
163	Maine	7
164	Marist	6
165	Sacred Heart	1
166	St. Francis	1
167	Fordham	1
168	Samford	3
169	TCU	8
170	Southern	5
171	UL Lafayette	4
172	Austin Peay	0
173	Memphis	4
174	Stetson	6
175	Warner	3
176	Louisiana Tech	8
177	Oklahoma	8
178	Montana St.	2
